iter	RMSE
0	74.12929558
1	72.74535613
2	71.35287714
3	70.09106617
4	68.9653958
5	67.48407458
6	66.14677397
7	64.75955511
8	63.29302262
9	62.16660093
10	60.95302294
11	59.68023442
12	58.42260974
13	57.38764497
14	56.48440766
15	55.3555691
16	54.32655992
17	53.27899012
18	52.37636862
19	51.59963435
20	50.58024795
21	49.50765748
22	48.64440167
23	47.75043886
24	46.96728671
25	46.00403064
26	45.14879637
27	44.28745048
28	43.69613613
29	42.86621338
30	42.05509692
31	41.27939173
32	40.5935175
33	39.9866118
34	39.38878995
35	38.72342417
36	38.13240189
37	37.61755101
38	36.98089166
39	36.42528709
40	35.84972645
41	35.47295105
42	34.90119788
43	34.37793246
44	33.77483631
45	33.28173585
46	32.77862366
47	32.3163528
48	31.93550948
49	31.56050146
50	31.10752909
51	30.69598091
52	30.27499188
53	29.86593454
54	29.57405547
55	29.21717321
56	28.94832016
57	28.6256744
58	28.23767314
59	27.81553349
60	27.39949549
61	27.04294422
62	26.72006344
63	26.3175179
64	26.02484605
65	25.74807522
66	25.46207457
67	25.22539996
68	24.89230566
69	24.60745823
70	24.23211618
71	24.0110888
72	23.78584315
73	23.53439398
74	23.23726162
75	22.97427415
76	22.82726601
77	22.58669443
78	22.45034573
79	22.2882304
80	22.12098628
81	21.89237649
82	21.60912907
83	21.41445491
84	21.18503652
85	21.01679855
86	20.90528064
87	20.63100311
88	20.48840197
89	20.35064603
90	20.21769554
91	20.04320054
92	19.83999929
93	19.6509849
94	19.5573969
95	19.37196221
96	19.21982367
97	19.02076092
98	18.91398012
99	18.68339896
100	18.54531822
101	18.46382394
102	18.29205858
103	18.11581787
104	17.92809661
105	17.83243564
106	17.68768686
107	17.55882991
108	17.50367205
109	17.44569982
110	17.32995933
111	17.12991273
112	17.05705885
113	16.95387649
114	16.7765849
115	16.72129284
116	16.5939745
117	16.48589913
118	16.37203788
119	16.28847123
120	16.24333957
121	16.11541422
122	16.08104468
123	15.98126433
124	15.86384363
125	15.75050107
126	15.66412367
127	15.63095254
128	15.60361602
129	15.57674934
130	15.54553967
131	15.41858605
132	15.32511554
133	15.23279266
134	15.20357188
135	15.17858547
136	15.02711659
